FunctionalPartition,InstancePer,CounterPrefix,CounterName,CounterType,CounterGroup,SignalWidth,Implementation,InstanceNum,CounterNameLegacy,type(P/C/CC),code,Description,RtlSignalPath,Note
PU,sfu,PC{m}_PG{n}_PU{o},SFU_FP64_CLS_INSTR_NUM,WORKLOAD,,,,,vsfu_fp64_cls_enable,P,116,,,
PU,sfu,PC{m}_PG{n}_PU{o},SFU_FP64_FREXP_INSTR_NUM,WORKLOAD,,,,,vsfu_fp64_frexp_enable,P,117,,,
PU,sfu,PC{m}_PG{n}_PU{o},SFU_FP642I32_INSTR_NUM,WORKLOAD,,,,,vsfu_fp64_to_i32_enable,P,118,,,
PU,sfu,PC{m}_PG{n}_PU{o},SFU_FP642FP32_INSTR_NUM,WORKLOAD,,,,,vsfu_fp64_to_f32_enable,P,119,,,
PU,sfu,PC{m}_PG{n}_PU{o},SFU_FP322FP64_INSTR_NUM,WORKLOAD,,,,,vsfu_f32_to_fp64_enable,P,120,,,
PU,sfu,PC{m}_PG{n}_PU{o},SFU_I322FP64_INSTR_NUM,WORKLOAD,,,,,vsfu_i32_to_fp64_enable,P,121,,,
PU,sfu,PC{m}_PG{n}_PU{o},SFU_FP64_RNDCTRL_INSTR_NUM,WORKLOAD,,,,,vsfu_fp64_rnd_ctrl_enable,P,122,,,
PU,sfu,PC{m}_PG{n}_PU{o},SFU_FP64_CMP_INSTR_NUM,WORKLOAD,,,,,vsfu_fp64_cmp_enable,P,123,,,
PU,sfu,PC{m}_PG{n}_PU{o},SFU_FP64_IDEXP_INSTR_NUM,WORKLOAD,,,,,vsfu_fp64_ldexp_enable,P,124,,,
PU,sfu,PC{m}_PG{n}_PU{o},Core_SFU_FP32_STALL_CYCLE,CYCLE,,,,,sfu_fp32_hazard,P,125,all Core stalls SFU return result,,
PU,sfu,PC{m}_PG{n}_PU{o},SFU_FP32_INSTR_NUM,WORKLOAD,,,,,sfu_fp32_fire,P,126,,,
PU,sfu,PC{m}_PG{n}_PU{o},Core_SFU_FP64_STALL_CYCLE,CYCLE,,,,,sfu_fp64_hazard,P,127,,,
PU,sfu,PC{m}_PG{n}_PU{o},SFU_FP64_INSTR_NUM,WORKLOAD,,,,,sfu_fp64_fire,P,128,,,
PU,dma,PC{m}_PG{n}_PU{o},DMA_SM2GM_CUT_NUM,WORKLOAD,,,,,dma_cutted_sm2gm_num[5:0],C,122,,,
PU,dma,PC{m}_PG{n}_PU{o},DMA_GM2SM_CUT_NUM,WORKLOAD,,,,,dma_cutted_gm2sm_num[5:0],C,123,,,
PU,dma,PC{m}_PG{n}_PU{o},DMA_SM2GM_CMD_FIFO_FILLED_ENTRY,WORKLOAD,,,,,dma_sm2gm_cmd_fifo_num[$clog2(`GM_WR_CMD_DEPTH):0],C,124,,,
PG,l2i,PC{m}_PG{n},L2I_REQ_NUM,WORKLOAD,,,,,l1i_req_num[$clog2(`NUM_PU):0],C,127,,,
PG,l2i,PC{m}_PG{n},L2I_HIT_NUM,WORKLOAD,,,,,l2i_hit_num[$clog2(`NUM_PU):0],C,128,,,
PG,l2i,PC{m}_PG{n},AXI_L2I_MISS_FILL_NUM,WORKLOAD,,,,,l2i_axi_r_fire,P,125,,,
PG,l2i,PC{m}_PG{n},AXI_L2I_RDATA_STALL_CYCLE,CYCLE,,,,,l2i_axi_r_hazard,P,126,,,
PG,l2i,PC{m}_PG{n},L2I_AXI_RD_REQ_NUM,WORKLOAD,,,,,l2i_axi_ar_fire,P,127,,,
PG,l2i,PC{m}_PG{n},L2I_AXI_RDREQ_STALL_CYCLE,CYCLE,,,,,l2i_axi_ar_hazard,P,128,,,
PG,l2i,PC{m}_PG{n},L2I_MHSR_FILLED_ENTRY,WORKLOAD,,,,,l2i_mshr_usage[3:0],C,129,,,
PC,,,issue,WORKLOAD,,,,,,,,,,
PG,,,WMMA_INSTR_NUM,WORKLOAD,,,,,,,,,,
PC,,,L2_READ_REQ_NUM,WORKLOAD,,,,,,,,,,
PC,,,L2_WRITE_REQ_NUM,WORKLOAD,,,,,,,,,,
PC,,,L3_READ_REQ_NUM,WORKLOAD,,,,,,,,,,
PC,,,L3_WRITE_REQ_NUM,WORKLOAD,,,,,,,,,,
PU,,,SYNC_INSTR_NUM,WORKLOAD,,,,,,,,,,
PU,,,SM_WRITE_REQ_NUM,WORKLOAD,,,,,,,,,,
PU,,,SM_READ_REQ_NUM,WORKLOAD,,,,,,,,,,
Core,,,FMA_INSTR_NUM,WORKLOAD,,,,,,,,,,
PU,,,SMA_INSTR_NUM,WORKLOAD,,,,,,,,,,
PC,,,DDR_RW_REQ_NUM,WORKLOAD,,,,,,,,,,
PC,,,DDR_READ_REQ_NUM,WORKLOAD,,,,,,,,,,
PC,,,DDR_WRITE_REQ_NUM,WORKLOAD,,,,,,,,,,
PC,,,MEM_REQ_TOTAL_TRAFFIC,WORKLOAD,,,,,,,,,,
